R r1 1 2 3 4
R r2 1 2 3 4
R r3 1 2 3 4
R r4 1 2 3 4
R r5 1 2 3 4
R r6 1 2 3 4
R r7 1 2 3 4
R r8 1 2 3 4
R r9 1 2 3 4
R r10 1 2 3 4
R r11 1 2 3 4
R r12 1 2 3 4
R r13 1 2 3 4
R r14 1 2 3 4
R r15 1 2 3 4
R r16 1 2 3 4
R r17 1 2 3 4
R r18 1 2 3 4
R r19 1 2 3 4
R r20 1 2 3 4
R r21 1 2 3 4
R r22 1 2 3 4
R r23 1 2 3 4
R r24 1 2 3 4
R r25 1 2 3 4
R r26 1 2 3 4
R r27 1 2 3 4
R r28 1 2 3 4
R r29 1 2 3 4
R r30 1 2 3 4
R r31 1 2 3 4
R r32 1 2 3 4
R r33 1 2 3 4
R r34 1 2 3 4
R r35 1 2 3 4
R r36 1 2 3 4
R r37 1 2 3 4
R r38 1 2 3 4
R r39 1 2 3 4
R r40 1 2 3 4
R r41 1 2 3 4
R r42 1 2 3 4
R r43 1 2 3 4
R r44 1 2 3 4
R r45 1 2 3 4
R r46 1 2 3 4
R r47 1 2 3 4
R r48 1 2 3 4
R r49 1 2 3 4
R r50 1 2 3 4
R r51 1 2 3 4
R r52 1 2 3 4
R r53 1 2 3 4
R r54 1 2 3 4
R r55 1 2 3 4
R r56 1 2 3 4
R r57 1 2 3 4
R r58 1 2 3 4
R r59 1 2 3 4
R r60 1 2 3 4
R r61 1 2 3 4
R r62 1 2 3 4
R r63 1 2 3 4
R r64 1 2 3 4
R r65 1 2 3 4
R r66 1 2 3 4
R r67 1 2 3 4
R r68 1 2 3 4
R r69 1 2 3 4
R r70 1 2 3 4
R r71 1 2 3 4
R r72 1 2 3 4
R r73 1 2 3 4
R r74 1 2 3 4
R r75 1 2 3 4
R r76 1 2 3 4
R r77 1 2 3 4
R r78 1 2 3 4
R r79 1 2 3 4
R r80 1 2 3 4
R r81 1 2 3 4
R r82 1 2 3 4
R r83 1 2 3 4
R r84 1 2 3 4
R r85 1 2 3 4
R r86 1 2 3 4
R r87 1 2 3 4
R r88 1 2 3 4
R r89 1 2 3 4
R r90 1 2 3 4
R r91 1 2 3 4
R r92 1 2 3 4
R r93 1 2 3 4
R r94 1 2 3 4
R r95 1 2 3 4
R r96 1 2 3 4
R r97 1 2 3 4
R r98 1 2 3 4
R r99 1 2 3 4
R r100 1 2 3 4
